HEAD;Marca;Proveedor (Proveedor del Producto);Número de Documento;Empresa Matriz;NIT / CC
34;Carfrisan;*;*;Productos Cárnicos Carfrisan S.A.;890.100.166-9
35;Carfrisan;*;*;Productos Cárnicos Carfrisan S.A.;890.100.166-9
36;Colanta;*;*;Cooperativa Lechera Colanta Ltda.;890.102.042-8
37;Cacique;*;*;Cacique S.A.S.;N/D
38;Becker;*;*;Alimentos Cárnicos S.A. (Grupo Nutresa);890.930.039-3
39;Carfrisan;*;*;Productos Cárnicos Carfrisan S.A.;890.100.166-9
40;Delichicks;*;*;Delichicks S.A.S.;N/D
41;Delichicks;*;*;Delichicks S.A.S.;N/D
42;Carfrisan;*;*;Productos Cárnicos Carfrisan S.A.;890.100.166-9
43;Delichicks;*;*;Delichicks S.A.S.;N/D
44;Delichicks;*;*;Delichicks S.A.S.;N/D
45;Delichicks;*;*;Delichicks S.A.S.;N/D
46;Colanta;*;*;Cooperativa Lechera Colanta Ltda.;890.102.042-8
47;Colanta;*;*;Cooperativa Lechera Colanta Ltda.;890.102.042-8
48;Cacique;*;*;Cacique S.A.S.;N/D
49;Cacique;*;*;Cacique S.A.S.;N/D
50;Rica;*;*;Fábrica de Embutidos Rica S.A.;890.102.043-6
51;Rica;*;*;Fábrica de Embutidos Rica S.A.;890.102.043-6
52;Salsan;*;*;Salsan S.A.;890.100.503-1
53;Salsan;*;*;Salsan S.A.;890.100.503-1
54;Carfrisan;*;*;Productos Cárnicos Carfrisan S.A.;890.100.166-9
55;Carfrisan;*;*;Productos Cárnicos Carfrisan S.A.;890.100.166-9
56;Carfrisan;*;*;Productos Cárnicos Carfrisan S.A.;890.100.166-9
57;Colombo Alemana;*;*;Productos Alimenticios Colombo Alemana S.A.;890.300.402-7
58;Colombo Alemana;*;*;Productos Alimenticios Colombo Alemana S.A.;890.300.402-7
59;New pig;*;*;New Pig Latin America S.A.S.;N/D
60;New pig;*;*;New Pig Latin America S.A.S.;N/D
61;Delichick;*;*;Delichicks S.A.S.;N/D
62;Delichick;*;*;Delichicks S.A.S.;N/D
63;Delichick;*;*;Delichicks S.A.S.;N/D
64;Rica;*;*;Fábrica de Embutidos Rica S.A.;890.102.043-6
65;Rica;*;*;Fábrica de Embutidos Rica S.A.;890.102.043-6
66;Zenú;*;*;Alimentos Cárnicos S.A. (Grupo Nutresa);890.930.039-3
67;Zenú;*;*;Alimentos Cárnicos S.A. (Grupo Nutresa);890.930.039-3
68;Zenú;*;*;Alimentos Cárnicos S.A. (Grupo Nutresa);890.930.039-3
69;Zenú;*;*;Alimentos Cárnicos S.A. (Grupo Nutresa);890.930.039-3
70;Zenú;*;*;Alimentos Cárnicos S.A. (Grupo Nutresa);890.930.039-3
71;Zenú;*;*;Alimentos Cárnicos S.A. (Grupo Nutresa);890.930.039-3
72;Zenú;*;*;Alimentos Cárnicos S.A. (Grupo Nutresa);890.930.039-3
73;Pietran;*;*;Pietran S.A.S.;N/D
74;Rica;*;*;Fábrica de Embutidos Rica S.A.;890.102.043-6
75;Zenú;*;*;Alimentos Cárnicos S.A. (Grupo Nutresa);890.930.039-3
76;Zenú;*;*;Alimentos Cárnicos S.A. (Grupo Nutresa);890.930.039-3
77;Zenú;*;*;Alimentos Cárnicos S.A. (Grupo Nutresa);890.930.039-3
78;Salsan;*;*;Salsan S.A.;890.100.503-1
79;Salsan;*;*;Salsan S.A.;890.100.503-1
80;Salsan;*;*;Salsan S.A.;890.100.503-1
81;Salsan;*;*;Salsan S.A.;890.100.503-1
82;Kimby;*;*;Kimby S.A.;890.100.054-5
83;Kimby;*;*;Kimby S.A.;890.100.054-5
84;Rica;*;*;Fábrica de Embutidos Rica S.A.;890.102.043-6
85;Carfrisan;*;*;Productos Cárnicos Carfrisan S.A.;890.100.166-9
86;Carfrisan;*;*;Productos Cárnicos Carfrisan S.A.;890.100.166-9
87;Carfrisan;*;*;Productos Cárnicos Carfrisan S.A.;890.100.166-9
88;Cacique;*;*;Cacique S.A.S.;N/D
89;Cacique;*;*;Cacique S.A.S.;N/D
90;Zenú;*;*;Alimentos Cárnicos S.A. (Grupo Nutresa);890.930.039-3
91;Delichicks;*;*;Delichicks S.A.S.;N/D
92;Cacique;*;*;Cacique S.A.S.;N/D
93;Zenú;*;*;Alimentos Cárnicos S.A. (Grupo Nutresa);890.930.039-3
94;Kimby;*;*;Kimby S.A.;890.100.054-5
95;Kimby;*;*;Kimby S.A.;890.100.054-5
96;Colanta;*;*;Cooperativa Lechera Colanta Ltda.;890.102.042-8
97;Procarsan;*;*;Procarsan S.A.;N/D
98;Carfrisan;*;*;Productos Cárnicos Carfrisan S.A.;890.100.166-9
99;Carfrisan;*;*;Productos Cárnicos Carfrisan S.A.;890.100.166-9
100;Cacique;*;*;Cacique S.A.S.;N/D
101;Rica;*;*;Fábrica de Embutidos Rica S.A.;890.102.043-6
102;Colanta;*;*;Cooperativa Lechera Colanta Ltda.;890.102.042-8
103;Colanta;*;*;Cooperativa Lechera Colanta Ltda.;890.102.042-8
104;Rica;*;*;Fábrica de Embutidos Rica S.A.;890.102.043-6
105;Iberico;*;*;Embutidos Iberico S.A.;N/D
106;Iberico;*;*;Embutidos Iberico S.A.;N/D
107;Iberico;*;*;Embutidos Iberico S.A.;N/D
108;Iberico;*;*;Embutidos Iberico S.A.;N/D
109;Iberico;*;*;Embutidos Iberico S.A.;N/D
110;Iberico;*;*;Embutidos Iberico S.A.;N/D
111;Iberico;*;*;Embutidos Iberico S.A.;N/D
112;Colombo Alemana;*;*;Productos Alimenticios Colombo Alemana S.A.;890.300.402-7
113;Zenú;*;*;Alimentos Cárnicos S.A. (Grupo Nutresa);890.930.039-3
114;Pietran;*;*;Pietran S.A.S.;N/D
115;Iberico;*;*;Embutidos Iberico S.A.;N/D
116;Zenú;*;*;Alimentos Cárnicos S.A. (Grupo Nutresa);890.930.039-3
117;Colombo Alemana;*;*;Productos Alimenticios Colombo Alemana S.A.;890.300.402-7
118;Ranchero;*;*;Ranchero S.A.;N/D
119;Colanta;*;*;Cooperativa Lechera Colanta Ltda.;890.102.042-8
120;Salsan;*;*;Salsan S.A.;890.100.503-1
121;Zenú;*;*;Alimentos Cárnicos S.A. (Grupo Nutresa);890.930.039-3
122;Delichicks;*;*;Delichicks S.A.S.;N/D
123;Cacique;*;*;Cacique S.A.S.;N/D
124;Becker;*;*;Alimentos Cárnicos S.A. (Grupo Nutresa);890.930.039-3
125;Carfrisan;*;*;Productos Cárnicos Carfrisan S.A.;890.100.166-9
126;Salsan;*;*;Salsan S.A.;890.100.503-1
127;Zenú;*;*;Alimentos Cárnicos S.A. (Grupo Nutresa);890.930.039-3
128;Colanta;*;*;Cooperativa Lechera Colanta Ltda.;890.102.042-8
129;Colanta;*;*;Cooperativa Lechera Colanta Ltda.;890.102.042-8
130;Colanta;*;*;Cooperativa Lechera Colanta Ltda.;890.102.042-8
131;Colanta;*;*;Cooperativa Lechera Colanta Ltda.;890.102.042-8
132;Salsan;*;*;Salsan S.A.;890.100.503-1
133;Rica;*;*;Fábrica de Embutidos Rica S.A.;890.102.043-6
134;Fazenda;*;*;Fazenda S.A.S.;N/D
135;Zenú;*;*;Alimentos Cárnicos S.A. (Grupo Nutresa);890.930.039-3
136;Mac Pollo;*;*;Mac Pollo S.A.;890.102.052-6
137;Rica;*;*;Fábrica de Embutidos Rica S.A.;890.102.043-6
138;Rica;*;*;Fábrica de Embutidos Rica S.A.;890.102.043-6
139;Colanta;*;*;Cooperativa Lechera Colanta Ltda.;890.102.042-8
140;Bary;*;*;Bary S.A.;890.102.039-8
141;Colanta;*;*;Cooperativa Lechera Colanta Ltda.;890.102.042-8
142;Zenú;*;*;Alimentos Cárnicos S.A. (Grupo Nutresa);890.930.039-3
143;Fazenda;*;*;Fazenda S.A.S.;N/D
144;Pietran;*;*;Pietran S.A.S.;N/D
145;Alpina;*;*;Alpina Productos Naturales S.A.;890.000.121-6
146;Alpina;*;*;Alpina Productos Naturales S.A.;890.000.121-6
147;Alpina;*;*;Alpina Productos Naturales S.A.;890.000.121-6
148;Alpina;*;*;Alpina Productos Naturales S.A.;890.000.121-6
149;Alpina;*;*;Alpina Productos Naturales S.A.;890.000.121-6
150;Alpina;*;*;Alpina Productos Naturales S.A.;890.000.121-6
151;Alpina;*;*;Alpina Productos Naturales S.A.;890.000.121-6
152;Freskaleche;*;*;Lácteos Freskaleche S.A.;N/D
153;Colanta;*;*;Cooperativa Lechera Colanta Ltda.;890.102.042-8
154;Colanta;*;*;Cooperativa Lechera Colanta Ltda.;890.102.042-8
155;Colanta;*;*;Cooperativa Lechera Colanta Ltda.;890.102.042-8
156;Discolacteos;*;*;Discolacteos S.A.;N/D
157;Freskaleche;*;*;Lácteos Freskaleche S.A.;N/D
158;Freskaleche;*;*;Lácteos Freskaleche S.A.;N/D
159;Freskaleche;*;*;Lácteos Freskaleche S.A.;N/D
160;Freskaleche;*;*;Lácteos Freskaleche S.A.;N/D
161;Freskaleche;*;*;Lácteos Freskaleche S.A.;N/D
162;Alqueria;*;*;Industrias Alimenticias Alquería S.A.;890.100.187-1
163;Alqueria;*;*;Industrias Alimenticias Alquería S.A.;890.100.187-1
164;Freskaleche;*;*;Lácteos Freskaleche S.A.;N/D
165;Cremax;*;*;Cremax S.A.S.;N/D
166;Cremax;*;*;Cremax S.A.S.;N/D
167;Alqueria;*;*;Industrias Alimenticias Alquería S.A.;890.100.187-1
168;Colanta;*;*;Cooperativa Lechera Colanta Ltda.;890.102.042-8
169;Freskaleche;*;*;Lácteos Freskaleche S.A.;N/D
170;Freskaleche;*;*;Lácteos Freskaleche S.A.;N/D
171;Colanta;*;*;Cooperativa Lechera Colanta Ltda.;890.102.042-8
172;Alpina;*;*;Alpina Productos Naturales S.A.;890.000.121-6
173;Klarens;*;*;Lácteos Klarens S.A.S.;N/D
174;Alqueria;*;*;Industrias Alimenticias Alquería S.A.;890.100.187-1
175;Alqueria;*;*;Industrias Alimenticias Alquería S.A.;890.100.187-1
176;Alpina;*;*;Alpina Productos Naturales S.A.;890.000.121-6
177;Colanta;*;*;Cooperativa Lechera Colanta Ltda.;890.102.042-8
178;Colanta;*;*;Cooperativa Lechera Colanta Ltda.;890.102.042-8
179;Colanta;*;*;Cooperativa Lechera Colanta Ltda.;890.102.042-8
180;Alpina;*;*;Alpina Productos Naturales S.A.;890.000.121-6
181;Alqueria;*;*;Industrias Alimenticias Alquería S.A.;890.100.187-1
182;Alpina;*;*;Alpina Productos Naturales S.A.;890.000.121-6
183;Alpina;*;*;Alpina Productos Naturales S.A.;890.000.121-6
184;Bary;*;*;Bary S.A.;890.102.039-8
185;Alpina;*;*;Alpina Productos Naturales S.A.;890.000.121-6
186;Comapan;*;*;Comapan S.A.;890.100.150-2
187;Rosita;*;*;Quesos Rosita S.A.S.;N/D
188;Frugal;*;*;Frugal S.A.;890.100.135-9
189;Big Chef;*;*;Big Chef S.A.S.;N/D
190;Bary;*;*;Bary S.A.;890.102.039-8
191;Pompeya;*;*;Pompeya S.A.;890.000.481-1
192;Ideal;*;*;Productos Ideal S.A.;890.900.128-7
193;Frugal;*;*;Frugal S.A.;890.100.135-9
194;Pompeya;*;*;Pompeya S.A.;890.000.481-1
195;Ideal;*;*;Productos Ideal S.A.;890.900.128-7
196;Bary;*;*;Bary S.A.;890.102.039-8
197;Bumanguesa;*;*;Lácteos Bumanguesa S.A.;N/D
198;Tomatico;*;*;Conservas Tomatico S.A.;N/D
199;Bary;*;*;Bary S.A.;890.102.039-8
200;Bary;*;*;Bary S.A.;890.102.039-8
201;Ideal;*;*;Productos Ideal S.A.;890.900.128-7
202;Bary;*;*;Bary S.A.;890.102.039-8
203;Comapan;*;*;Comapan S.A.;890.100.150-2
204;Comapan;*;*;Comapan S.A.;890.100.150-2
205;Zafran;*;*;Alimentos Zafran S.A.;N/D
206;Zafran;*;*;Alimentos Zafran S.A.;N/D
207;La Constancia;*;*;La Constancia S.A.;890.102.051-8
208;La Constancia;*;*;La Constancia S.A.;890.102.051-8
209;San Jorge;*;*;Conservas San Jorge S.A.;N/D
210;Bary;*;*;Bary S.A.;890.102.039-8
211;Zafran;*;*;Alimentos Zafran S.A.;N/D
212;La Constancia;*;*;La Constancia S.A.;890.102.051-8
213;Bary;*;*;Bary S.A.;890.102.039-8
214;Bary;*;*;Bary S.A.;890.102.039-8
215;Bary;*;*;Bary S.A.;890.102.039-8
216;Bary;*;*;Bary S.A.;890.102.039-8
217;Bary;*;*;Bary S.A.;890.102.039-8
218;Bary;*;*;Bary S.A.;890.102.039-8
219;Bary;*;*;Bary S.A.;890.102.039-8
220;Comapan;*;*;Comapan S.A.;890.100.150-2
221;Bary;*;*;Bary S.A.;890.102.039-8
222;Fruco;*;*;Fruco S.A.S.;890.000.776-6
223;La Constancia;*;*;La Constancia S.A.;890.102.051-8
224;Fruco;*;*;Fruco S.A.S.;890.000.776-6
225;La Constancia;*;*;La Constancia S.A.;890.102.051-8
226;La Constancia;*;*;La Constancia S.A.;890.102.051-8
227;Fruco;*;*;Fruco S.A.S.;890.000.776-6
228;La Constancia;*;*;La Constancia S.A.;890.102.051-8
229;La Constancia;*;*;La Constancia S.A.;890.102.051-8
230;La Constancia;*;*;La Constancia S.A.;890.102.051-8
231;La Constancia;*;*;La Constancia S.A.;890.102.051-8
232;La Constancia;*;*;La Constancia S.A.;890.102.051-8
233;La Constancia;*;*;La Constancia S.A.;890.102.051-8
234;La Constancia;*;*;La Constancia S.A.;890.102.051-8
235;La Constancia;*;*;La Constancia S.A.;890.102.051-8
236;La Constancia;*;*;La Constancia S.A.;890.102.051-8
237;La Constancia;*;*;La Constancia S.A.;890.102.051-8
238;La Constancia;*;*;La Constancia S.A.;890.102.051-8
239;La Constancia;*;*;La Constancia S.A.;890.102.051-8
240;La Constancia;*;*;La Constancia S.A.;890.102.051-8
241;La Constancia;*;*;La Constancia S.A.;890.102.051-8
242;La Constancia;*;*;La Constancia S.A.;890.102.051-8
243;La Constancia;*;*;La Constancia S.A.;890.102.051-8
244;La Constancia;*;*;La Constancia S.A.;890.102.051-8
245;La Constancia;*;*;La Constancia S.A.;890.102.051-8
246;Bary;*;*;Bary S.A.;890.102.039-8
247;La Constancia;*;*;La Constancia S.A.;890.102.051-8
248;Bary;*;*;Bary S.A.;890.102.039-8
249;La Constancia;*;*;La Constancia S.A.;890.102.051-8
250;La Constancia;*;*;La Constancia S.A.;890.102.051-8
251;La Constancia;*;*;La Constancia S.A.;890.102.051-8
252;Bary;*;*;Bary S.A.;890.102.039-8
253;Bary;*;*;Bary S.A.;890.102.039-8
254;Bary;*;*;Bary S.A.;890.102.039-8
255;Bary;*;*;Bary S.A.;890.102.039-8
256;La Constancia;*;*;La Constancia S.A.;890.102.051-8
257;Zafran;*;*;Alimentos Zafran S.A.;N/D
258;Bary;*;*;Bary S.A.;890.102.039-8
259;Bary;*;*;Bary S.A.;890.102.039-8
260;Bary;*;*;Bary S.A.;890.102.039-8
261;La Constancia;*;*;La Constancia S.A.;890.102.051-8
262;La Constancia;*;*;La Constancia S.A.;890.102.051-8
263;Tomatico;*;*;Conservas Tomatico S.A.;N/D
264;Tomatico;*;*;Conservas Tomatico S.A.;N/D
265;Tomatico;*;*;Conservas Tomatico S.A.;N/D
266;Tomatico;*;*;Conservas Tomatico S.A.;N/D
267;Tomatico;*;*;Conservas Tomatico S.A.;N/D
268;Tomatico;*;*;Conservas Tomatico S.A.;N/D
269;Tomatico;*;*;Conservas Tomatico S.A.;N/D
270;Tomatico;*;*;Conservas Tomatico S.A.;N/D
271;Tomatico;*;*;Conservas Tomatico S.A.;N/D
272;Tomatico;*;*;Conservas Tomatico S.A.;N/D
273;Tomatico;*;*;Conservas Tomatico S.A.;N/D
274;Tomatico;*;*;Conservas Tomatico S.A.;N/D
275;Tomatico;*;*;Conservas Tomatico S.A.;N/D
276;Tomatico;*;*;Conservas Tomatico S.A.;N/D
277;Tomatico;*;*;Conservas Tomatico S.A.;N/D
278;Tomatico;*;*;Conservas Tomatico S.A.;N/D
279;Tomatico;*;*;Conservas Tomatico S.A.;N/D
280;Tomatico;*;*;Conservas Tomatico S.A.;N/D
281;Tomatico;*;*;Conservas Tomatico S.A.;N/D
282;Tomatico;*;*;Conservas Tomatico S.A.;N/D
283;Tomatico;*;*;Conservas Tomatico S.A.;N/D
284;Tomatico;*;*;Conservas Tomatico S.A.;N/D
285;Tomatico;*;*;Conservas Tomatico S.A.;N/D
286;Tomatico;*;*;Conservas Tomatico S.A.;N/D
287;Tomatico;*;*;Conservas Tomatico S.A.;N/D
288;Tomatico;*;*;Conservas Tomatico S.A.;N/D
289;Bary;*;*;Bary S.A.;890.102.039-8
290;Bary;*;*;Bary S.A.;890.102.039-8
291;Bary;*;*;Bary S.A.;890.102.039-8
292;Tomatico;*;*;Conservas Tomatico S.A.;N/D
293;Tomatico;*;*;Conservas Tomatico S.A.;N/D
294;La Constancia;*;*;La Constancia S.A.;890.102.051-8
295;Fruco;*;*;Fruco S.A.S.;890.000.776-6
296;Fruco;*;*;Fruco S.A.S.;890.000.776-6
297;Fruco;*;*;Fruco S.A.S.;890.000.776-6
298;Fruco;*;*;Fruco S.A.S.;890.000.776-6
299;El Rodeo;*;*;El Rodeo S.A.;N/D
300;Horeca;*;*;Horeca S.A.S.;N/D
301;Bary;*;*;Bary S.A.;890.102.039-8
302;Bary;*;*;Bary S.A.;890.102.039-8
303;Pompeya;*;*;Pompeya S.A.;890.000.481-1
304;Pompeya;*;*;Pompeya S.A.;890.000.481-1
305;Thims;*;*;Thims S.A.S.;N/D
306;Fruco;*;*;Fruco S.A.S.;890.000.776-6
307;Thims;*;*;Thims S.A.S.;N/D
308;Pompeya;*;*;Pompeya S.A.;890.000.481-1
309;Bary;*;*;Bary S.A.;890.102.039-8
310;Bary;*;*;Bary S.A.;890.102.039-8
311;Bary;*;*;Bary S.A.;890.102.039-8
312;Bary;*;*;Bary S.A.;890.102.039-8
313;Bary;*;*;Bary S.A.;890.102.039-8
314;Bary;*;*;Bary S.A.;890.102.039-8
315;Pompeya;*;*;Pompeya S.A.;890.000.481-1
316;Pompeya;*;*;Pompeya S.A.;890.000.481-1
317;Pompeya;*;*;Pompeya S.A.;890.000.481-1
318;Pompeya;*;*;Pompeya S.A.;890.000.481-1
319;Tomatico;*;*;Conservas Tomatico S.A.;N/D
320;Practi-pasta;*;*;Practi-pasta S.A.S.;N/D
321;Practi-pasta;*;*;Practi-pasta S.A.S.;N/D
322;Practi-pasta;*;*;Practi-pasta S.A.S.;N/D
323;Practi-pasta;*;*;Practi-pasta S.A.S.;N/D
324;Practi-pasta;*;*;Practi-pasta S.A.S.;N/D
325;Practi-pasta;*;*;Practi-pasta S.A.S.;N/D
326;Practi-pasta;*;*;Practi-pasta S.A.S.;N/D
327;Mac Pollo;*;*;Mac Pollo S.A.;890.102.052-6
328;Mac Pollo;*;*;Mac Pollo S.A.;890.102.052-6
329;Avicampo;*;*;Avicampo S.A.;N/D
330;Avicampo;*;*;Avicampo S.A.;N/D
331;Avicampo;*;*;Avicampo S.A.;N/D
332;Avicampo;*;*;Avicampo S.A.;N/D
333;Quesada;*;*;Quesos Quesada S.A.S.;N/D
334;Quesada;*;*;Quesos Quesada S.A.S.;N/D
335;Quesada;*;*;Quesos Quesada S.A.S.;N/D
336;Corona;*;*;Alimentos Diana S.A. (Grupo Nutresa);890.100.164-2
337;Girones;*;*;Lácteos Girones S.A.;N/D
338;Girones;*;*;Lácteos Girones S.A.;N/D
339;Girones;*;*;Lácteos Girones S.A.;N/D
340;Corona;*;*;Alimentos Diana S.A. (Grupo Nutresa);890.100.164-2
341;Harina pan;*;*;Alimentos Polar S.A.;890.100.052-9
342;Harina pan;*;*;Alimentos Polar S.A.;890.100.052-9
343;Harina pan;*;*;Alimentos Polar S.A.;890.100.052-9
344;Juan Valdez;*;*;Procafecol S.A.;830.024.420-5
345;La Sopera;*;*;La Sopera S.A.S.;N/D
346;La Sopera;*;*;La Sopera S.A.S.;N/D
347;La Sopera;*;*;La Sopera S.A.S.;N/D
348;La Sopera;*;*;La Sopera S.A.S.;N/D
349;La Sopera;*;*;La Sopera S.A.S.;N/D
350;Suntea;*;*;Suntea S.A.S.;N/D
351;Suntea;*;*;Suntea S.A.S.;N/D
352;Suntea;*;*;Suntea S.A.S.;N/D
353;Suntea;*;*;Suntea S.A.S.;N/D
354;Suntea;*;*;Suntea S.A.S.;N/D
355;Suntea;*;*;Suntea S.A.S.;N/D
356;Suntea;*;*;Suntea S.A.S.;N/D
357;Suntea;*;*;Suntea S.A.S.;N/D
358;Frutiño;*;*;Frutiño S.A.;N/D
359;Frutiño;*;*;Frutiño S.A.;N/D
360;Frutiño;*;*;Frutiño S.A.;N/D
361;Frutiño;*;*;Frutiño S.A.;N/D
362;Frutiño;*;*;Frutiño S.A.;N/D
363;Frutiño;*;*;Frutiño S.A.;N/D
364;Frutiño;*;*;Frutiño S.A.;N/D
365;Frutiño;*;*;Frutiño S.A.;N/D
366;Frutiño;*;*;Frutiño S.A.;N/D
367;Frutiño;*;*;Frutiño S.A.;N/D
368;Frutiño;*;*;Frutiño S.A.;N/D
369;Boka;*;*;Productos Boka S.A.;N/D
370;Boka;*;*;Productos Boka S.A.;N/D
371;Boka;*;*;Productos Boka S.A.;N/D
372;Boka;*;*;Productos Boka S.A.;N/D
373;Panelada;*;*;Panelada S.A.;N/D
374;Corona;*;*;Alimentos Diana S.A. (Grupo Nutresa);890.100.164-2
375;Galilea;*;*;Quesos Galilea S.A.S.;N/D
376;Diana;*;*;Alimentos Diana S.A. (Grupo Nutresa);890.100.164-2
377;Bucaro;*;*;Bucaro S.A.S.;N/D
378;La Garza;*;*;La Garza S.A.;N/D
379;Gourmet;*;*;Gourmet S.A.;N/D
380;Gourmet;*;*;Gourmet S.A.;N/D
381;Gourmet;*;*;Gourmet S.A.;N/D
382;Bucaro;*;*;Bucaro S.A.S.;N/D
383;Refisal;*;*;Refisal S.A. (Grupo Nutresa);890.100.102-2
384;Refisal;*;*;Refisal S.A. (Grupo Nutresa);890.100.102-2
385;Ajinomen;*;*;Ajinomoto Colombia S.A.;890.300.309-8
386;Ajinomen;*;*;Ajinomoto Colombia S.A.;890.300.309-8
387;Bary;*;*;Bary S.A.;890.102.039-8
388;Bary;*;*;Bary S.A.;890.102.039-8
389;Alamar;*;*;Alamar S.A.S.;N/D
390;Vancamps;*;*;Van Camp's (Conagra Brands);N/D
391;Vancamps;*;*;Van Camp's (Conagra Brands);N/D
392;Selecto;*;*;Selecto S.A.;N/D
393;Don pancho;*;*;Don Pancho S.A.S.;N/D
394;Quaker;*;*;PepsiCo Alimentos Colombia S.A.;830.003.584-2
395;Quaker;*;*;PepsiCo Alimentos Colombia S.A.;830.003.584-2
396;Doria;*;*;Pastas Doria S.A. (Grupo Nutresa);890.100.142-1
397;Doria;*;*;Pastas Doria S.A. (Grupo Nutresa);890.100.142-1
398;Muñeca;*;*;Alimentos Diana S.A. (Grupo Nutresa);890.100.164-2
399;Doria;*;*;Pastas Doria S.A. (Grupo Nutresa);890.100.142-1
400;Muñeca;*;*;Alimentos Diana S.A. (Grupo Nutresa);890.100.164-2
401;Muñeca;*;*;Alimentos Diana S.A. (Grupo Nutresa);890.100.164-2
402;Diana;*;*;Alimentos Diana S.A. (Grupo Nutresa);890.100.164-2
403;Diana;*;*;Alimentos Diana S.A. (Grupo Nutresa);890.100.164-2
404;Diana;*;*;Alimentos Diana S.A. (Grupo Nutresa);890.100.164-2
405;Diana;*;*;Alimentos Diana S.A. (Grupo Nutresa);890.100.164-2
406;Diana;*;*;Alimentos Diana S.A. (Grupo Nutresa);890.100.164-2
407;Diana;*;*;Alimentos Diana S.A. (Grupo Nutresa);890.100.164-2
408;Diana;*;*;Alimentos Diana S.A. (Grupo Nutresa);890.100.164-2
409;Sello rojo;*;*;Sello Rojo S.A. (Grupo Nutresa);890.900.063-1
410;Sello rojo;*;*;Sello Rojo S.A. (Grupo Nutresa);890.900.063-1
411;Sello rojo;*;*;Sello Rojo S.A. (Grupo Nutresa);890.900.063-1
412;Refisal;*;*;Refisal S.A. (Grupo Nutresa);890.100.102-2
413;Diana;*;*;Alimentos Diana S.A. (Grupo Nutresa);890.100.164-2
414;Diana;*;*;Alimentos Diana S.A. (Grupo Nutresa);890.100.164-2
415;Nescafe;*;*;Nestlé de Colombia S.A.;860.002.727-2
416;Diana;*;*;Alimentos Diana S.A. (Grupo Nutresa);890.100.164-2
417;Diana;*;*;Alimentos Diana S.A. (Grupo Nutresa);890.100.164-2
418;Diana;*;*;Alimentos Diana S.A. (Grupo Nutresa);890.100.164-2
419;Maggi;*;*;Nestlé de Colombia S.A.;860.002.727-2
420;Maggi;*;*;Nestlé de Colombia S.A.;860.002.727-2
421;Darnel;*;*;Darnel S.A.;800.135.932-9
422;Bimbo;*;*;Bimbo de Colombia S.A.;860.038.872-2
423;Bimbo;*;*;Bimbo de Colombia S.A.;860.038.872-2
424;Klarens;*;*;Lácteos Klarens S.A.S.;N/D
425;Diana;*;*;Alimentos Diana S.A. (Grupo Nutresa);890.100.164-2
426;Colanta;*;*;Cooperativa Lechera Colanta Ltda.;890.102.042-8
